Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"111.14375 - 111.15625 MHz";"ILS/DME - Bana 1 - Såtenäs";"#5D88FF"
"Sweden (PTS)";"111.89375 - 111.90625 MHz";"ILS/DME - Bana 33 - Trollhättan";"#5D88FF"
"Sweden (PTS)";"113.34375 - 113.35625 MHz";"DME - Landvetter - Fristående DME";"#5D88FF"
"Sweden (PTS)";"113.94375 - 113.95625 MHz";"DME - Landvetter - Fristående DME";"#5D88FF"
"Sweden (PTS)";"114.59375 - 114.60625 MHz";"Landvetter ATIS - Landvetter - Landvetter Väderinformation";"#5D88FF"
"Sweden (PTS)";"115.64375 - 115.65625 MHz";"DME - Landvetter - Fristående DME";"#5D88FF"
"Sweden (PTS)";"116.79375 - 116.80625 MHz";"VFR Lindön - Lindön";"#5D88FF"
"Sweden (PTS)";"117.975 - 121.45 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"118.36875 - 118.38125 MHz";"Väderinformation - Landvetter";"#5D88FF"
"Sweden (PTS)";"118.59875 - 118.61125 MHz";"Landvetter TWR - Landvetter - Landvetter Tower (Primary Channel)";"#5D88FF"
"Sweden (PTS)";"118.94375 - 118.95625 MHz";"- - Karlsborg";"#5D88FF"
"Sweden (PTS)";"118.99375 - 119.00625 MHz";"TOWER Säve flygplats - Säve";"#5D88FF"
"Sweden (PTS)";"119.04875 - 119.06125 MHz";"Säve TWR - Säve - Säve TWR (Primary Channel)";"#5D88FF"
"Sweden (PTS)";"119.29375 - 119.30625 MHz";"F7 Såtenäs - Hela länet - K:FV F7B";"#5D88FF"
"Sweden (PTS)";"120.11875 - 120.13125 MHz";"Landvetter APP - Landvetter - Göteborg Arrival";"#5D88FF"
"Sweden (PTS)";"121.45 - 121.55 MHz";"Luftfartsradio (ELT) (Undantag från tillståndsplikt, RR AP15)";"#FF0091"
"Sweden (PTS)";"121.55 - 137 MHz";"Luftfartsradio";"#5D88FF"
"Sweden (PTS)";"121.59875 - 121.61125 MHz";"Landvetter APRON - Landvetter - Landvetter APRON (Push-back)";"#5D88FF"
